33, 10
34, 10
35, 10
45, 10
46, 10
47, 10

32, 11
34, 11
36, 11
37, 11
43, 11
44, 11
46, 11
48, 11

32, 12
34, 12
36, 12
44, 12
46, 12
48, 12

33, 13
35, 13
36, 13
38, 13
39, 13
41, 13
42, 13
44, 13
45, 13
47, 13

37, 14
39, 14
41, 14
43, 14

35, 15
37, 15
39, 15
41, 15
43, 15
45, 15

34, 16
35, 16
37, 16
39, 16
41, 16
43, 16
45, 16
46, 16

34, 17
35, 17
36, 17
39, 17
41, 17
44, 17
45, 17
46, 17

34, 18
35, 18
38, 18
42, 18
45, 18
46, 18

33, 19
38, 19
39, 19
41, 19
42, 19
47, 19

33, 20
47, 20
-1, -1
